country,year,mean_act,du_obs,num_obs,drug_1yr_ago,drug_2yr_ago,drug_3yr_ago,drug_4yr_ago,drug_5yr_ago
Cambodia,2000,1.83798838789396e-4,0,16,NA,NA,NA,NA,NA
Cambodia,2001,1.8203253750290676e-4,0,16,1.83798838789396e-4,NA,NA,NA,NA
Cambodia,2002,1.83798838789396e-4,1,16,1.8203253750290676e-4,1.83798838789396e-4,NA,NA,NA
Cambodia,2003,1.9439664650806884e-4,0,16,1.83798838789396e-4,1.8203253750290676e-4,1.83798838789396e-4,NA,NA
Cambodia,2004,1.88554265348434e-4,1,16,1.9439664650806884e-4,1.83798838789396e-4,1.8203253750290676e-4,1.83798838789396e-4,NA
Cambodia,2005,1.41e-4,1,16,1.88554265348434e-4,1.9439664650806884e-4,1.83798838789396e-4,1.8203253750290676e-4,1.83798838789396e-4
Cambodia,2006,4.11360427509357e-5,1,16,1.41e-4,1.88554265348434e-4,1.9439664650806884e-4,1.83798838789396e-4,1.8203253750290676e-4
Cambodia,2007,3.924028500623802e-6,0,16,4.11360427509357e-5,1.41e-4,1.88554265348434e-4,1.9439664650806884e-4,1.83798838789396e-4
Cambodia,2008,0,1,16,3.924028500623802e-6,4.11360427509357e-5,1.41e-4,1.88554265348434e-4,1.9439664650806884e-4
Cambodia,2009,0,1,16,0,3.924028500623802e-6,4.11360427509357e-5,1.41e-4,1.88554265348434e-4
Cambodia,2010,0,1,16,0,0,3.924028500623802e-6,4.11360427509357e-5,1.41e-4
Cambodia,2011,0,1,16,0,0,0,3.924028500623802e-6,4.11360427509357e-5
Cambodia,2012,1.87468803866381e-5,1,16,0,0,0,0,3.924028500623802e-6
Cambodia,2013,3.90364135354825e-4,1,16,1.87468803866381e-5,0,0,0,0
Cambodia,2014,9.49e-4,1,16,3.90364135354825e-4,1.87468803866381e-5,0,0,0
Cambodia,2015,0.00172457051201936,1,16,9.49e-4,3.90364135354825e-4,1.87468803866381e-5,0,0
Cambodia,2016,0.00268608500750231,1,16,0.00172457051201936,9.49e-4,3.90364135354825e-4,1.87468803866381e-5,0
Cambodia,2017,0.00380255282253826,1,16,0.00268608500750231,0.00172457051201936,9.49e-4,3.90364135354825e-4,1.87468803866381e-5
Cambodia,2018,0.0050429832932166,1,16,0.00380255282253826,0.00268608500750231,0.00172457051201936,9.49e-4,3.90364135354825e-4
Cambodia,2019,0.00637638575562673,1,16,0.0050429832932166,0.00380255282253826,0.00268608500750231,0.00172457051201936,9.49e-4
Cambodia,2020,0.007709788218036859,0,16,0.00637638575562673,0.0050429832932166,0.00380255282253826,0.00268608500750231,0.00172457051201936
Cambodia,2021,0.009043190680446988,0,16,0.007709788218036859,0.00637638575562673,0.0050429832932166,0.00380255282253826,0.00268608500750231
Cambodia,2022,0.010376593142857117,0,16,0.009043190680446988,0.007709788218036859,0.00637638575562673,0.0050429832932166,0.00380255282253826
Lao People's Democratic Republic,2000,0.0918,0,3,NA,NA,NA,NA,NA
Lao People's Democratic Republic,2001,0.09330857142865398,0,3,0.0918,NA,NA,NA,NA
Lao People's Democratic Republic,2002,0.09594857142866231,0,3,0.09330857142865398,0.0918,NA,NA,NA
Lao People's Democratic Republic,2003,0.0993428571429504,0,3,0.09594857142866231,0.09330857142865398,0.0918,NA,NA
Lao People's Democratic Republic,2004,0.10311428571437632,0,3,0.0993428571429504,0.09594857142866231,0.09330857142865398,0.0918,NA
Lao People's Democratic Republic,2005,0.10688571428579823,0,3,0.10311428571437632,0.0993428571429504,0.09594857142866231,0.09330857142865398,0.0918
Lao People's Democratic Republic,2006,0.11028000000007418,0,3,0.10688571428579823,0.10311428571437632,0.0993428571429504,0.09594857142866231,0.09330857142865398
Lao People's Democratic Republic,2007,0.11292000000006229,0,3,0.11028000000007418,0.10688571428579823,0.10311428571437632,0.0993428571429504,0.09594857142866231
Lao People's Democratic Republic,2008,0.11442857142862065,0,3,0.11292000000006229,0.11028000000007418,0.10688571428579823,0.10311428571437632,0.0993428571429504
Lao People's Democratic Republic,2009,0.11442857142860739,0,3,0.11442857142862065,0.11292000000006229,0.11028000000007418,0.10688571428579823,0.10311428571437632
Lao People's Democratic Republic,2010,0.11254285714288058,0,3,0.11442857142860739,0.11442857142862065,0.11292000000006229,0.11028000000007418,0.10688571428579823
Lao People's Democratic Republic,2011,0.10839428571429834,0,3,0.11254285714288058,0.11442857142860739,0.11442857142862065,0.11292000000006229,0.11028000000007418
Lao People's Democratic Republic,2012,0.10160571428571873,0,3,0.10839428571429834,0.11254285714288058,0.11442857142860739,0.11442857142862065,0.11292000000006229
Lao People's Democratic Republic,2013,0.0918,1,3,0.10160571428571873,0.10839428571429834,0.11254285714288058,0.11442857142860739,0.11442857142862065
Lao People's Democratic Republic,2014,0.0786,1,3,0.0918,0.10160571428571873,0.10839428571429834,0.11254285714288058,0.11442857142860739
Lao People's Democratic Republic,2015,0.0654,1,3,0.0786,0.0918,0.10160571428571873,0.10839428571429834,0.11254285714288058
Lao People's Democratic Republic,2016,0.0522,0,3,0.0654,0.0786,0.0918,0.10160571428571873,0.10839428571429834
Lao People's Democratic Republic,2017,0.03900000000000001,0,3,0.0522,0.0654,0.0786,0.0918,0.10160571428571873
Lao People's Democratic Republic,2018,0.02580000000000001,0,3,0.03900000000000001,0.0522,0.0654,0.0786,0.0918
Lao People's Democratic Republic,2019,0.012600000000000014,0,3,0.02580000000000001,0.03900000000000001,0.0522,0.0654,0.0786
Lao People's Democratic Republic,2020,0,0,3,0.012600000000000014,0.02580000000000001,0.03900000000000001,0.0522,0.0654
Lao People's Democratic Republic,2021,0,0,3,0,0.012600000000000014,0.02580000000000001,0.03900000000000001,0.0522
Lao People's Democratic Republic,2022,0,0,3,0,0,0.012600000000000014,0.02580000000000001,0.03900000000000001
