year,country,ACT
2006,Burkina Faso,0
2005,Burundi,0.026685446
2006,Cameroon,0.008823415
2006,CAR,0.012608177
2006,Cuba,NA
2006,Djibouti,0.002166098
2005,Gambia,0
2006,Ghana,0.027929413
2006,GuineaBissau,0.001654125
2006,Guyana,0
2006,Ivory Coast,0.020401486
2005,Jamaica,NA
2006,Lao,0.00148861
2006,Malawi,0.001365272
2007,Mauritania,0.004515495
2005,Mongolia,NA
2008,Mozambique,NA
2007,Nigeria,0.01071355
2005,SierraLeone,0.003232301
2006,Somalia,0.005492459
2006,Suriname,NA
2005,Thailand,NA
2006,Togo2,0.007202729
2006,TrinidadTobago,NA
2007,Vanuatu,NA
2006,Vietnam,NA
2006,Yemen,NA
2006,Bangladesh,NA
2006,Belize,NA